Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-02-01,05:03 - 16:08 (100%),28,1,OSIRIS-LGS,osiris6,George Djorgovski,CIT,C311,
2021-02-02,05:04 - 10:36 ( 50%),37,1,OSIRIS-NGS,osiris7,Michihiro Takami,Subaru,S364,
2021-02-02,10:36 - 16:08 ( 50%),37,1,OSIRIS-LGS,osiris7,Duncan Farrah,UH,H319,
2021-02-03,05:04 - 10:36 ( 50%),46,1,OSIRIS-NGS,osiris7,Michihiro Takami,Subaru,S364,
2021-02-03,10:36 - 16:07 ( 50%),46,1,OSIRIS-LGS,osiris7,Duncan Farrah,UH,H319,
2021-02-04,05:05 - 16:07 (100%),55,1,MOSFIRE,mosfire4,Themiya Nanayakkara,Swinburne,W242,
2021-02-05,05:05 - 16:07 (100%),64,1,MOSFIRE,mosfire5,Patrick Kelly,NASA,N201,
2021-02-06,05:06 - 16:06 (100%),74,1,MOSFIRE,mosfire6,Gillian Wilson,UCR,U008,
2021-02-07,05:06 - 16:06 (100%),83,1,MOSFIRE,mosfire6,Gillian Wilson,UCR,U008,
2021-02-08,05:07 - 16:06 (100%),92,1,MOSFIRE,mosfire6,Gillian Wilson,UCR,U008,
2021-02-09,05:07 - 16:05 (100%),100,1,OSIRIS-LGS,osiris8,Anna Nierenberg,UCM,U129,
2021-02-10,05:07 - 10:36 ( 50%),100,1,OSIRIS-LGS,osiris9,Eric Gaidos,UH,H246,
2021-02-10,10:36 - 16:05 ( 50%),100,1,LRIS-ADC,lris3,Lin Yan,CIT,C251,
2021-02-11,05:08 - 10:36 ( 50%),100,1,LRIS-ADC,lris4,Joannes van Roestel,CIT,C229,
2021-02-11,10:36 - 16:04 ( 50%),100,1,LRIS-ADC,lris4,Ryan Foley,UCSC,U089,
2021-02-12,05:08 - 16:04 (100%),94,1,LRIS-ADC,lris5,Daniel Masters,NASA,N238,
2021-02-13,05:09 - 16:04 (100%),87,1,LRIS-ADC,lris6,Gregg Hallinan,CIT,C302,
2021-02-14,05:09 - 16:03 (100%),79,1,LRIS-ADC,lris7,Thomas Prince,CIT,C308,
2021-02-15,05:10 - 16:03 (100%),71,1,LRIS-ADC,lris8,Vikram Ravi,CIT,C310,
