,index,utdate,quarter,start_jd,start,stop,moon_alt_start,moon_alt_stop,kpfcc
0,0,2022-01-01,1,2459580.6981000453,04:45,07:35,-34.900517415762465,-71.23060709435612,True
1,0,2022-01-01,2,2459580.8162012543,07:35,10:25,-71.23060709435612,-70.51893701942478,False
2,0,2022-01-01,3,2459580.934302463,10:25,13:15,-70.51893701942478,-34.36153875578938,False
3,0,2022-01-01,4,2459581.0524036717,13:15,16:05,-34.36153875578938,0.7654045024971295,True
4,1,2022-01-02,1,2459581.698504957,04:45,07:35,-21.4638997259213,-57.260585237357795,False
5,1,2022-01-02,2,2459581.8165660216,07:35,10:25,-57.260585237357795,-82.21374009116289,False
6,1,2022-01-02,3,2459581.9346270864,10:25,13:15,-82.21374009116289,-48.42086069197156,False
7,1,2022-01-02,4,2459582.0526881507,13:15,16:05,-48.42086069197156,-12.856618644843163,True
8,2,2022-01-03,1,2459582.6989128785,04:46,07:36,-7.832309534806572,-43.310775454093225,False
9,2,2022-01-03,2,2459582.816930292,07:36,10:26,-43.310775454093225,-78.78134796916633,False
10,2,2022-01-03,3,2459582.934947706,10:26,13:16,-78.78134796916633,-62.34113067875266,False
11,2,2022-01-03,4,2459583.052965119,13:16,16:06,-62.34113067875266,-26.17247796251246,False
12,3,2022-01-04,1,2459583.6993233436,04:47,07:36,5.751246720827785,-29.534296669867345,False
13,3,2022-01-04,2,2459583.8172936896,07:36,10:26,-29.534296669867345,-66.28485597833425,False
14,3,2022-01-04,3,2459583.935264036,10:26,13:16,-66.28485597833425,-75.95610445364113,False
15,3,2022-01-04,4,2459584.053234382,13:16,16:06,-75.95610445364113,-38.917693223856176,True
16,4,2022-01-05,1,2459584.6997358967,04:47,07:37,19.092930761470672,-16.06109791425779,True
17,4,2022-01-05,2,2459584.81765587,07:37,10:27,-16.06109791425779,-53.33875309790047,False
18,4,2022-01-05,3,2459584.935575844,10:27,13:17,-53.33875309790047,-88.22425993129912,False
19,4,2022-01-05,4,2459585.0534958174,13:17,16:06,-88.22425993129912,-50.75565108414071,True
20,5,2022-01-06,1,2459585.7001501014,04:48,07:37,32.046924687262845,-2.98037607376026,True
21,5,2022-01-06,2,2459585.8180162604,07:37,10:27,-2.98037607376026,-40.63316176738431,False
22,5,2022-01-06,3,2459585.9358824193,10:27,13:17,-40.63316176738431,-77.71295310331439,False
23,5,2022-01-06,4,2459586.053748578,13:17,16:07,-77.71295310331439,-61.09385719095669,False
24,6,2022-01-07,1,2459586.7005655416,04:48,07:38,44.50673373338053,9.666209910279616,False
25,6,2022-01-07,2,2459586.818374475,07:38,10:28,9.666209910279616,-28.298817342382005,False
26,6,2022-01-07,3,2459586.9361834084,10:28,13:17,-28.298817342382005,-65.37993117717689,False
27,6,2022-01-07,4,2459587.0539923417,13:17,16:07,-65.37993117717689,-68.56157196008955,True
28,7,2022-01-08,1,2459587.7009818223,04:49,07:38,56.36760098392449,21.88133397824149,False
29,7,2022-01-08,2,2459587.8187301527,07:38,10:28,21.88133397824149,-16.35164544548704,False
30,7,2022-01-08,3,2459587.9364784835,10:28,13:18,-16.35164544548704,-53.43416918012441,False
31,7,2022-01-08,4,2459588.054226814,13:18,16:07,-53.43416918012441,-70.58658047218398,True
32,8,2022-01-09,1,2459588.7013983405,04:50,07:39,67.39295927888256,33.70187340550729,False
33,8,2022-01-09,2,2459588.8190827826,07:39,10:28,33.70187340550729,-4.757112559370172,False
