,utdate,quarter,start,stop,start_jd,stop_jd,kpfcc,dark
0,2021-02-02,1,05:03,07:49,2459247.710885236,2459247.8261130336,False,True
1,2021-02-02,2,07:49,10:35,2459247.8261130336,2459247.9413408306,False,False
2,2021-02-02,3,10:35,13:21,2459247.9413408306,2459248.056568628,False,False
3,2021-02-02,4,13:21,16:07,2459248.056568628,2459248.1717964252,False,False
4,2021-02-03,1,05:04,07:49,2459248.71122816,2459248.8263215492,False,True
5,2021-02-03,2,07:49,10:35,2459248.8263215492,2459248.941414939,False,False
6,2021-02-03,3,10:35,13:21,2459248.941414939,2459249.056508328,False,False
7,2021-02-03,4,13:21,16:07,2459249.056508328,2459249.171601717,True,False
8,2021-02-04,1,05:04,07:50,2459249.711566527,2459249.8265232225,False,True
9,2021-02-04,2,07:50,10:35,2459249.8265232225,2459249.941479918,False,False
10,2021-02-04,3,10:35,13:21,2459249.941479918,2459250.056436613,False,False
11,2021-02-04,4,13:21,16:06,2459250.056436613,2459250.171393309,True,False
12,2021-02-05,1,05:05,07:50,2459250.711900305,2459250.8267180594,True,True
13,2021-02-05,2,07:50,10:35,2459250.8267180594,2459250.941535814,False,True
14,2021-02-05,3,10:35,13:21,2459250.941535814,2459251.0563535686,False,False
15,2021-02-05,4,13:21,16:06,2459251.0563535686,2459251.171171323,False,False
16,2021-02-06,1,05:05,07:50,2459251.712229458,2459251.8269062014,True,True
17,2021-02-06,2,07:50,10:35,2459251.8269062014,2459251.941582945,False,True
18,2021-02-06,3,10:35,13:21,2459251.941582945,2459252.0562596885,False,False
19,2021-02-06,4,13:21,16:06,2459252.0562596885,2459252.1709364317,False,False
20,2021-02-07,1,05:06,07:51,2459252.7125539444,2459252.8270875304,False,True
21,2021-02-07,2,07:51,10:35,2459252.8270875304,2459252.941621117,False,True
22,2021-02-07,3,10:35,13:20,2459252.941621117,2459253.056154703,True,True
23,2021-02-07,4,13:20,16:05,2459253.056154703,2459253.1706882888,True,False
24,2021-02-08,1,05:06,07:51,2459253.712873719,2459253.82726202,True,True
25,2021-02-08,2,07:51,10:35,2459253.82726202,2459253.9416503212,True,True
26,2021-02-08,3,10:35,13:20,2459253.9416503212,2459254.0560386223,False,True
27,2021-02-08,4,13:20,16:05,2459254.0560386223,2459254.1704269233,False,False
28,2021-02-09,1,05:06,07:51,2459254.713188739,2459254.827429666,True,True
29,2021-02-09,2,07:51,10:36,2459254.827429666,2459254.941670594,True,True
30,2021-02-09,3,10:36,13:20,2459254.941670594,2459255.055911521,False,True
31,2021-02-09,4,13:20,16:05,2459255.055911521,2459255.170152448,False,False
32,2021-02-10,1,05:07,07:51,2459255.7134989607,2459255.827590465,False,True
33,2021-02-10,2,07:51,10:36,2459255.827590465,2459255.9416819694,False,True
34,2021-02-10,3,10:36,13:20,2459255.9416819694,2459256.055773474,False,True
35,2021-02-10,4,13:20,16:04,2459256.055773474,2459256.169864978,False,True
36,2021-02-11,1,05:07,07:51,2459256.713804347,2459256.8277444183,False,True
37,2021-02-11,2,07:51,10:36,2459256.8277444183,2459256.94168449,False,True
38,2021-02-11,3,10:36,13:20,2459256.94168449,2459257.0556245614,False,True
39,2021-02-11,4,13:20,16:04,2459257.0556245614,2459257.1695646327,False,True
40,2021-02-12,1,05:08,07:52,2459257.7141048703,2459257.827891538,False,True
41,2021-02-12,2,07:52,10:36,2459257.827891538,2459257.941678206,False,True
42,2021-02-12,3,10:36,13:19,2459257.941678206,2459258.0554648736,False,True
43,2021-02-12,4,13:19,16:03,2459258.0554648736,2459258.169251541,False,True
44,2021-02-13,1,05:08,07:52,2459258.7144005173,2459258.828031849,True,False
45,2021-02-13,2,07:52,10:35,2459258.828031849,2459258.941663181,False,True
46,2021-02-13,3,10:35,13:19,2459258.941663181,2459259.055294513,False,True
47,2021-02-13,4,13:19,16:03,2459259.055294513,2459259.1689258446,False,True
48,2021-02-14,1,05:09,07:52,2459259.7146912874,2459259.82816539,False,False
49,2021-02-14,2,07:52,10:35,2459259.82816539,2459259.9416394928,False,True
50,2021-02-14,3,10:35,13:19,2459259.9416394928,2459260.055113595,True,True
51,2021-02-14,4,13:19,16:02,2459260.055113595,2459260.1685876977,True,True
52,2021-02-15,1,05:09,07:52,2459260.7149767466,2459260.828291877,False,False
53,2021-02-15,2,07:52,10:35,2459260.828291877,2459260.9416070078,False,True
54,2021-02-15,3,10:35,13:19,2459260.9416070078,2459261.0549221383,True,True
55,2021-02-15,4,13:19,16:02,2459261.0549221383,2459261.168237269,True,True
56,2021-02-16,1,05:09,07:52,2459261.715257264,2459261.828411633,False,False
57,2021-02-16,2,07:52,10:35,2459261.828411633,2459261.9415660026,False,False
58,2021-02-16,3,10:35,13:18,2459261.9415660026,2459262.0547203715,False,True
59,2021-02-16,4,13:18,16:01,2459262.0547203715,2459262.1678747404,True,True
60,2021-02-17,1,05:10,07:53,2459262.715533048,2459262.828524863,True,False
61,2021-02-17,2,07:53,10:35,2459262.828524863,2459262.9415166783,True,False
62,2021-02-17,3,10:35,13:18,2459262.9415166783,2459263.0545084933,False,True
63,2021-02-17,4,13:18,16:01,2459263.0545084933,2459263.1675003082,False,True
64,2021-02-18,1,05:10,07:53,2459263.7158041582,2459263.828631664,True,False
65,2021-02-18,2,07:53,10:35,2459263.828631664,2459263.9414591696,False,False
66,2021-02-18,3,10:35,13:18,2459263.9414591696,2459264.0542866755,False,True
67,2021-02-18,4,13:18,16:00,2459264.0542866755,2459264.167114181,False,True
68,2021-02-19,1,05:11,07:53,2459264.7160706692,2459264.8287321473,True,False
69,2021-02-19,2,07:53,10:35,2459264.8287321473,2459264.941393625,False,False
70,2021-02-19,3,10:35,13:17,2459264.941393625,2459265.054055103,False,True
71,2021-02-19,4,13:17,16:00,2459265.054055103,2459265.1667165807,False,True
72,2021-02-20,1,05:11,07:53,2459265.7163326694,2459265.828826437,True,False
73,2021-02-20,2,07:53,10:35,2459265.828826437,2459265.9413202046,True,False
74,2021-02-20,3,10:35,13:17,2459265.9413202046,2459266.053813972,False,False
75,2021-02-20,4,13:17,15:59,2459266.053813972,2459266.1663077394,False,True
76,2021-02-21,1,05:11,07:53,2459266.7165902583,2459266.828914669,False,False
77,2021-02-21,2,07:53,10:35,2459266.828914669,2459266.9412390795,False,False
78,2021-02-21,3,10:35,13:17,2459266.9412390795,2459267.05356349,True,False
79,2021-02-21,4,13:17,15:58,2459267.05356349,2459267.1658879006,True,True
80,2021-02-22,1,05:12,07:53,2459267.7168435487,2459267.8289969913,False,False
81,2021-02-22,2,07:53,10:35,2459267.8289969913,2459267.9411504343,False,False
82,2021-02-22,3,10:35,13:16,2459267.9411504343,2459268.053303877,False,False
83,2021-02-22,4,13:16,15:58,2459268.053303877,2459268.1654573195,True,True
84,2021-02-23,1,05:12,07:53,2459268.717092668,2459268.829073567,False,False
85,2021-02-23,2,07:53,10:35,2459268.829073567,2459268.9410544652,False,False
86,2021-02-23,3,10:35,13:16,2459268.9410544652,2459269.0530353636,False,False
87,2021-02-23,4,13:16,15:57,2459269.0530353636,2459269.1650162623,False,False
88,2021-02-24,1,05:12,07:53,2459269.717337757,2459269.8291445696,False,False
89,2021-02-24,2,07:53,10:34,2459269.8291445696,2459269.940951382,False,False
90,2021-02-24,3,10:34,13:15,2459269.940951382,2459270.0527581945,True,False
91,2021-02-24,4,13:15,15:56,2459270.0527581945,2459270.1645650067,True,False
92,2021-02-25,1,05:13,07:54,2459270.7175789718,2459270.8292102893,False,False
93,2021-02-25,2,07:54,10:34,2459270.8292102893,2459270.940841607,False,False
94,2021-02-25,3,10:34,13:15,2459270.940841607,2459271.0524729243,False,False
95,2021-02-25,4,13:15,15:56,2459271.0524729243,2459271.164104242,True,False
96,2021-02-26,1,05:13,07:54,2459271.7178164837,2459271.829270859,True,False
97,2021-02-26,2,07:54,10:34,2459271.829270859,2459271.940725234,True,False
98,2021-02-26,3,10:34,13:15,2459271.940725234,2459272.052179609,False,False
99,2021-02-26,4,13:15,15:55,2459272.052179609,2459272.163633984,False,False
100,2021-02-27,1,05:13,07:54,2459272.7180504794,2459272.8293264494,True,False
101,2021-02-27,2,07:54,10:34,2459272.8293264494,2459272.9406024194,True,False
102,2021-02-27,3,10:34,13:14,2459272.9406024194,2459273.0518783894,False,False
103,2021-02-27,4,13:14,15:54,2459273.0518783894,2459273.1631543594,False,False
104,2021-02-28,1,05:14,07:54,2459273.7182811587,2459273.8293772885,True,False
105,2021-02-28,2,07:54,10:34,2459273.8293772885,2459273.940473418,False,False
106,2021-02-28,3,10:34,13:14,2459273.940473418,2459274.0515695475,False,False
107,2021-02-28,4,13:14,15:54,2459274.0515695475,2459274.1626656773,False,False
108,2021-03-01,1,05:14,07:54,2459274.718508731,2459274.829423611,True,False
109,2021-03-01,2,07:54,10:34,2459274.829423611,2459274.9403384905,False,False
110,2021-03-01,3,10:34,13:13,2459274.9403384905,2459275.05125337,False,False
111,2021-03-01,4,13:13,15:53,2459275.05125337,2459275.16216825,False,False
112,2021-03-02,1,05:14,07:54,2459275.71873341,2459275.829465655,False,False
113,2021-03-02,2,07:54,10:33,2459275.829465655,2459275.9401979004,False,False
114,2021-03-02,3,10:33,13:13,2459275.9401979004,2459276.050930145,False,False
115,2021-03-02,4,13:13,15:52,2459276.050930145,2459276.1616623905,True,False
